mode,severity,seed,accuracy,macro_f1,scenario_coverage,severity_balance,temporal_stability,failure_case_rate,report_file,manifest
dataset_only,low,13,75.46296296296296,33.17941891994172,87.5,100.0,36.904761904761905,24.537037037037035,reports\benchmark_20260324_125138.txt,simulations\run_dataset_only_low_seed13_20260324_125126\manifest.json
dataset_only,low,23,75.46296296296296,33.17941891994172,87.5,100.0,36.904761904761905,24.537037037037035,reports\benchmark_20260324_125152.txt,simulations\run_dataset_only_low_seed23_20260324_125138\manifest.json
dataset_only,low,37,75.46296296296296,33.17941891994172,87.5,100.0,36.904761904761905,24.537037037037035,reports\benchmark_20260324_125206.txt,simulations\run_dataset_only_low_seed37_20260324_125153\manifest.json
dataset_only,high,13,75.46296296296296,33.17941891994172,87.5,100.0,36.904761904761905,24.537037037037035,reports\benchmark_20260324_125220.txt,simulations\run_dataset_only_high_seed13_20260324_125207\manifest.json
dataset_only,high,23,75.46296296296296,33.17941891994172,87.5,100.0,36.904761904761905,24.537037037037035,reports\benchmark_20260324_125234.txt,simulations\run_dataset_only_high_seed23_20260324_125221\manifest.json
dataset_only,high,37,75.46296296296296,33.17941891994172,87.5,100.0,36.904761904761905,24.537037037037035,reports\benchmark_20260324_125249.txt,simulations\run_dataset_only_high_seed37_20260324_125235\manifest.json
synthetic_only,low,13,79.14691943127961,9.817754262198704,87.5,100.0,0.0,20.853080568720383,reports\benchmark_20260324_125457.txt,simulations\run_synthetic_only_low_seed13_20260324_125249\manifest.json
synthetic_only,low,23,79.21462423832092,10.315293239048753,87.5,100.0,0.3246753246753247,20.78537576167908,reports\benchmark_20260324_125714.txt,simulations\run_synthetic_only_low_seed23_20260324_125457\manifest.json
synthetic_only,low,37,79.21462423832092,10.315293239048753,87.5,100.0,0.3246753246753247,20.78537576167908,reports\benchmark_20260324_125937.txt,simulations\run_synthetic_only_low_seed37_20260324_125714\manifest.json
synthetic_only,high,13,80.97494922139472,19.60912174515015,87.5,100.0,8.766233766233766,19.02505077860528,reports\benchmark_20260324_130152.txt,simulations\run_synthetic_only_high_seed13_20260324_125937\manifest.json
synthetic_only,high,23,80.83953960731212,19.13856677558299,87.5,100.0,8.116883116883116,19.160460392687884,reports\benchmark_20260324_130420.txt,simulations\run_synthetic_only_high_seed23_20260324_130152\manifest.json
synthetic_only,high,37,80.83953960731212,19.13856677558299,87.5,100.0,8.116883116883116,19.160460392687884,reports\benchmark_20260324_130644.txt,simulations\run_synthetic_only_high_seed37_20260324_130420\manifest.json
hybrid,low,13,78.3132530120482,23.049931247014587,100.0,38.095238095238095,13.025210084033615,21.68674698795181,reports\benchmark_20260324_130858.txt,simulations\run_hybrid_low_seed13_20260324_130645\manifest.json
hybrid,low,23,78.365636458879,23.20718628763864,100.0,38.095238095238095,13.23529411764706,21.634363541121004,reports\benchmark_20260324_131100.txt,simulations\run_hybrid_low_seed23_20260324_130858\manifest.json
hybrid,low,37,78.365636458879,23.20718628763864,100.0,38.095238095238095,13.23529411764706,21.634363541121004,reports\benchmark_20260324_131302.txt,simulations\run_hybrid_low_seed37_20260324_131100\manifest.json
hybrid,high,13,79.72760607647983,26.822959430445703,100.0,38.095238095238095,18.69747899159664,20.27239392352017,reports\benchmark_20260324_131506.txt,simulations\run_hybrid_high_seed13_20260324_131302\manifest.json
hybrid,high,23,79.62283918281823,26.594910094182573,100.0,38.095238095238095,18.277310924369747,20.37716081718177,reports\benchmark_20260324_131711.txt,simulations\run_hybrid_high_seed23_20260324_131506\manifest.json
hybrid,high,37,79.62283918281823,26.594910094182573,100.0,38.095238095238095,18.277310924369747,20.37716081718177,reports\benchmark_20260324_131904.txt,simulations\run_hybrid_high_seed37_20260324_131711\manifest.json
